,film_id,title,description,release_year,language,rental_duration,rental_rate,length,replacement_cost,rating,special_features,genre
0,1,Academy dinosaur,A epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,2006,EN,6,0.99,86,20.99,Pg,"Deleted scenes,behind the scenes",Documentary
4,2,Ace goldfinger,A astounding epistle of a database administrator and a explorer who must find a car in ancient china,2006,EN,3,4.99,48,12.99,G,"Trailers,deleted scenes",Horror
5,3,Adaptation holes,A astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,2006,EN,7,2.99,50,18.99,Nc-17,"Trailers,deleted scenes",Documentary
8,4,Affair prejudice,A fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,2006,EN,5,2.99,117,26.99,G,"Commentaries,behind the scenes",NoInfo
9,5,African egg,A fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,2006,EN,6,2.99,130,22.99,G,Deleted scenes,NoInfo
10,6,Agent truman,A intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,2006,EN,3,2.99,169,17.99,Pg,Deleted scenes,Foreign
12,7,Airplane sierra,A touching saga of a hunter and a butler who must discover a butler in a jet boat,2006,EN,6,4.99,62,28.99,Pg-13,"Trailers,deleted scenes",NoInfo
13,8,Airport pollock,A epic tale of a moose and a girl who must confront a monkey in ancient india,2006,EN,6,4.99,54,15.99,R,Trailers,NoInfo
14,9,Alabama devil,A thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,2006,EN,3,2.99,114,21.99,Pg-13,"Trailers,deleted scenes",Horror
17,10,Aladdin calendar,A action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,2006,EN,6,4.99,63,24.99,Nc-17,"Trailers,deleted scenes",Sports
20,11,Alamo videotape,A boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,2006,EN,6,0.99,126,16.99,G,"Commentaries,behind the scenes",NoInfo
21,12,Alaska phantom,A fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,2006,EN,6,0.99,136,22.99,Pg,"Commentaries,deleted scenes",Music
22,13,Ali forever,A action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,2006,EN,4,4.99,150,21.99,Pg,"Deleted scenes,behind the scenes",NoInfo
23,14,Alice fantasia,A emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,2006,EN,6,0.99,94,23.99,Nc-17,"Trailers,deleted scenes,behind the scenes",Classics
24,15,Alien center,A brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,2006,EN,5,2.99,46,10.99,Nc-17,"Trailers,commentaries,behind the scenes",Foreign
25,16,Alley evolution,A fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,2006,EN,6,2.99,180,23.99,Nc-17,"Trailers,commentaries",Foreign
26,17,Alone trip,A fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,2006,EN,3,0.99,82,14.99,R,"Trailers,behind the scenes",Music
29,18,Alter victory,A thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,2006,EN,6,0.99,57,27.99,Pg-13,"Trailers,behind the scenes",NoInfo
30,19,Amadeus holy,A emotional display of a pioneer and a technical writer who must battle a man in a baloon,2006,EN,6,0.99,113,20.99,Pg,"Commentaries,deleted scenes,behind the scenes",Action
33,20,Amelie hellfighters,A boring drama of a woman and a squirrel who must conquer a student in a baloon,2006,EN,4,4.99,79,23.99,R,"Commentaries,deleted scenes,behind the scenes",NoInfo
34,21,American circus,A insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,2006,EN,3,4.99,129,17.99,R,"Commentaries,behind the scenes",Action
36,22,Amistad midsummer,A emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,2006,EN,6,2.99,85,10.99,G,"Commentaries,behind the scenes",NoInfo
37,23,Anaconda confessions,A lacklusture display of a dentist and a dentist who must fight a girl in australia,2006,EN,3,0.99,92,9.99,R,"Trailers,deleted scenes",Animation
40,24,Analyze hoosiers,A thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert,2006,EN,6,2.99,181,19.99,R,"Trailers,behind the scenes",Horror
41,25,Angels life,A thoughtful display of a woman and a astronaut who must battle a robot in berlin,2006,EN,3,2.99,74,15.99,G,Trailers,New
